;bild1.txt;bild2.txt;bild3.txt;bild4.txt;bild5.txt;bild6.txt;bild7.txt;bild8.txt;faz1.txt;faz2.txt;faz3.txt;faz4.txt;sz1.txt;sz2.txt;sz3.txt;taz1.txt;taz2.txt;taz3.txt;welt1.txt;welt2.txt;welt3.txt;welt4.txt;zeit1.txt;zeit2.txt;zeit3.txt
39;('meiden', 0.004598486870632);('jugendlicher', 0.004568431400889);('spielte', 0.005580719720923);('sprecherin', 0.005008721520585);('anfänglichen', 0.007193896515253);('spezialkräften', 0.006104541522585);('streifenwagen-besatzung', 0.006819219554498);('aufschluss', 0.006158326029392);('jemandem', 0.003937859179358);('gott', 0.006131315827509);('asyl', 0.003215676837754);('wüst', 0.003643110172374);('genauen', 0.003718339027146);('dringend', 0.002101360178177);('vorhatte', 0.00419801804406);('kippt', 0.002818427436839);('jegliche', 0.009574931566247);('angst', 0.002972607953421);('konkretem', 0.002410241394261);('zelle', 0.007205876333361);('verdichten', 0.004040289042405);('anschließend', 0.002888305803042);('kräftiger', 0.002768198036974);('klingelte', 0.002401958777787);('jahren', 0.002833110811146)
40;('café', 0.004598486870632);('komplizen', 0.004568431400889);('blieb', 0.005580719720923);('wirklichkeit', 0.005008721520585);('begangen', 0.007193896515253);('empfang', 0.006104541522585);('erging', 0.006819219554498);('liefern', 0.006158326029392);('mitnimmt', 0.003937859179358);('auszuhalten', 0.006131315827509);('sicherheitsbehörden', 0.003215676837754);('schiefgelaufen', 0.003614201031328);('aktuell', 0.003718339027146);('sven', 0.002101360178177);('staatsanwälte', 0.00419801804406);('note', 0.002818427436839);('entzweiung', 0.009574931566247);('stimmung', 0.002972607953421);('tatverdacht', 0.002410241394261);('spezialeinsatzkräfte', 0.007205876333361);('prüft', 0.004040289042405);('diejenigen', 0.002888305803042);('durchtrainierter', 0.002768198036974);('gastronom', 0.002401958777787);('acke', 0.002667824444031)
41;('provisorisches', 0.004598486870632);('versuchen', 0.004568431400889);('bergischen', 0.005580719720923);('kurzer', 0.005008721520585);('bulgarien', 0.006932773425511);('barfuß', 0.006104541522585);('zuständige', 0.006819219554498);('irreparablen', 0.006158326029392);('stadtdechant', 0.003937859179358);('warnte', 0.006131315827509);('presse-agentur', 0.003215676837754);('mehrzahl', 0.003614201031328);('vielzahl', 0.003718339027146);('rosen', 0.002101360178177);('detail', 0.00419801804406);('vorletzten', 0.002818427436839);('genug', 0.009574931566247);('tagen', 0.00286287776023);('aufenthaltsort', 0.002410241394261);('drohnenaufnahme', 0.007205876333361);('helfer', 0.004040289042405);('kündigt', 0.002888305803041);('schlägerei', 0.002768198036974);('konzerte', 0.002401958777787);('verunsichert', 0.002667824444031)
42;('lagezentrum', 0.004598486870632);('anwohner', 0.004568431400889);('entkam', 0.005580719720923);('derjenige', 0.005008721520585);('dürfte', 0.006217812635501);('führten', 0.006104541522585);('ausländerbehörde', 0.006819219554498);('schaden', 0.006158326029392);('katholischen', 0.003937859179358);('geistliche', 0.006131315827509);('union', 0.003215676837754);('rheinischen', 0.003614201031328);('absperrungen', 0.003718339027146);('straße', 0.002101360178177);('begründen', 0.00419801804406);('songs', 0.002818427436839);('isolieren', 0.009574931566247);('politiker', 0.00286287776023);('erklärten', 0.002410241394261);('is-mitglied', 0.007205876333361);('absichten', 0.004040289042405);('erstmals', 0.002888305803041);('37-jährige', 0.002768198036974);('versuchten', 0.002401958777787);('eins', 0.002667824444031)
43;('hilfe', 0.004598486870632);('großstadt', 0.004568431400889);('anfänglichen', 0.005580719720923);('höchsten', 0.005008721520585);('eu', 0.006217812635501);('fahrzeugkolonne', 0.006104541522585);('anzutreffen', 0.006819219554498);('unterkunft', 0.006158326029392);('nachrichten-agentur', 0.003937859179358);('verleumdungen', 0.006131315827509);('zwischenzeitlich', 0.003215676837754);('post', 0.003614201031328);('sprecherin', 0.003718339027146);('schreie', 0.002101360178177);('haftrichter', 0.00419801804406);('gespielt', 0.002818427436839);('nährboden', 0.009574931566247);('trauern', 0.00286287776023);('unterschiedliche', 0.002410241394261);('zuvor', 0.006389574827715);('passen', 0.004040289042405);('blume', 0.002888305803041);('rüber', 0.002768198036974);('kleiner', 0.002401958777787);('weltoffen', 0.002667824444031)
44;('wohin', 0.004598486870632);('verlust', 0.004568431400889);('stunden', 0.004823515256631);('maße', 0.005008721520585);('sechs', 0.006217812635501);('bereit', 0.006104541522585);('bundeskanzler', 0.006819219554498);('bekennervideo', 0.006158326029392);('kna', 0.003937859179358);('einfache', 0.006131315827509);('große', 0.003215676837754);('länder', 0.003614201031328);('zugestochen', 0.003718339027146);('samstagvormittag', 0.002101360178177);('reichten', 0.00419801804406);('fluchtartig', 0.002818427436839);('entziehen', 0.009574931566247);('seit', 0.002724188550266);('vorliegen', 0.002410241394261);('abschiebung', 0.006389574827715);('bestätigen', 0.004040289042405);('bewegende', 0.002888305803041);('leblose', 0.002768198036974);('grauen', 0.002401958777787);('transparent', 0.002667824444031)
45;('fuß', 0.004598486870632);('kummer', 0.004568431400889);('teil', 0.004823515256631);('bürgerkriegsland', 0.005008721520585);('später', 0.006217812635501);('gezielten', 0.006104541522585);('gedenkt', 0.006819219554498);('samstagnacht', 0.006158326029392);('herrsche', 0.003937859179358);('derlei', 0.006131315827509);('zuständig', 0.003215676837754);('darf', 0.003614201031328);('spreche', 0.003718339027146);('vielleicht', 0.002101360178177);('argumente', 0.00419801804406);('hört', 0.002818427436839);('stärker', 0.009574931566247);('gibt', 0.00265152023337);('sitze', 0.002410241394261);('karlsruhe', 0.006389574827715);('messerattacken', 0.004040289042405);('worte', 0.002888305803041);('körper', 0.002768198036974);('haaren', 0.002401958777787);('ausrollen', 0.002667824444031)
46;('fahrrad', 0.004598486870632);('realisieren', 0.004568431400889);('versteckt', 0.004823515256631);('subsidiärer', 0.005008721520585);('darum', 0.006217812635501);('messerstichen', 0.006104541522585);('flüchtling', 0.005350780551259);('ordnete', 0.006158326029392);('seltsame', 0.003937859179358);('posts', 0.006131315827509);('deutschen', 0.002999091040485);('müssten', 0.003454546973654);('livemusik', 0.003718339027146);('reden', 0.002101360178177);('schickte', 0.00419801804406);('wussten', 0.002818427436839);('wichtiger', 0.009574931566247);('arbeitet', 0.002630479647501);('nicht-anzeige', 0.002410241394261);('welt', 0.005855601162169);('sorgen', 0.004040289042405);('tauschte', 0.002888305803041);('richtungen', 0.002768198036974);('grauem', 0.002401958777787);('klettert', 0.002667824444031)
47;('auto', 0.004598486870632);('trösten', 0.004568431400889);('beanspruchte', 0.004823515256631);('motivierte', 0.005008721520585);('flüchtlinge', 0.006217812635501);('wege', 0.006104541522585);('attackiert', 0.005350780551259);('26-jährigen', 0.006158326029392);('cafes', 0.003937859179358);('hashtag', 0.006131315827509);('asylantrag', 0.002999091040485);('untergetaucht', 0.003033999189299);('augenzeugen', 0.003718339027146);('wirklich', 0.002008534495219);('wirft', 0.00419801804406);('wen', 0.002818427436839);('aufgeheizten', 0.009574931566247);('fordern', 0.002630479647501);('geplanter', 0.002410241394261);('terrormiliz', 0.00569940173874);('schlagzeilen', 0.004040289042405);('montagmorgen', 0.002888305803041);('gerannt', 0.002768198036974);('bart', 0.002401958777787);('baumumrandung', 0.002667824444031)
48;('handy-videos', 0.004598486870632);('gegenseitig', 0.004568431400889);('soldat', 0.004823515256631);('samstagnachmittag', 0.005008721520585);('umstehende', 0.006217812635501);('besserung', 0.006104541522585);('sekunden', 0.005350780551259);('vergeltung', 0.006158326029392);('säßen', 0.003937859179358);('tragen', 0.006131315827509);('abgeschoben', 0.002999091040485);('straftäter', 0.003033999189299);('beendet', 0.003718339027146);('sitzt', 0.002008534495219);('tatbestand', 0.00419801804406);('abgesehen', 0.002818427436839);('atheisten', 0.009574931566247);('politische', 0.002630479647501);('last', 0.002410241394261);('dublin-regeln', 0.005654175324784);('lebender', 0.004040289042405);('rathaus', 0.002888305803041);('hineingebaut', 0.002768198036974);('gesamtes', 0.002401958777787);('offene', 0.002667824444031)
49;('https', 0.004598486870632);('legen', 0.004568431400889);('christen', 0.004823515256631);('motivlage', 0.005008721520585);('töten', 0.006217812635501);('medizinische', 0.006104541522585);('hinten', 0.005350780551259);('tötung', 0.006158326029392);('spüre', 0.003937859179358);('hashtags', 0.006131315827509);('land', 0.002881190493041);('al', 0.00292387149412);('reporterin', 0.003718339027146);('neben', 0.002008534495219);('nachweis', 0.00419801804406);('schusswaffe', 0.002818427436839);('areligiösen', 0.009574931566247);('rechtsextremen', 0.002630479647501);('gelegt', 0.002410241394261);('asylbewerber', 0.005654175324784);('bundeskriminalamt', 0.004040289042405);('kuzbach', 0.002888305803041);('hügelige', 0.002768198036974);('verbracht', 0.002401958777787);('zweieinhalb', 0.002667824444031)
